Description:	loop-jki, three-loop dgemm.

Size: 31	Mflop/s:  3043.74	Percentage: 15.85
Size: 32	Mflop/s:  3719.86	Percentage: 19.37
Size: 33	Mflop/s:  3416.21	Percentage: 17.79
Size: 63	Mflop/s:  3771.13	Percentage: 19.64
Size: 64	Mflop/s:  4427.94	Percentage: 23.06
Size: 65	Mflop/s:  3962.54	Percentage: 20.64
Size: 95	Mflop/s:   3797.3	Percentage: 19.78
Size: 96	Mflop/s:  4407.91	Percentage: 22.96
Size: 97	Mflop/s:  3930.65	Percentage: 20.47
Size: 127	Mflop/s:  3946.81	Percentage: 20.56
Size: 128	Mflop/s:  3879.83	Percentage: 20.21
Size: 129	Mflop/s:  4040.12	Percentage: 21.04
Size: 159	Mflop/s:  3815.46	Percentage: 19.87
Size: 160	Mflop/s:  4253.58	Percentage: 22.15
Size: 161	Mflop/s:  3881.05	Percentage: 20.21
Size: 191	Mflop/s:  3558.99	Percentage: 18.54
Size: 192	Mflop/s:  3884.78	Percentage: 20.23
Size: 193	Mflop/s:  3603.15	Percentage: 18.77
Size: 223	Mflop/s:  3466.38	Percentage: 18.05
Size: 224	Mflop/s:  3818.69	Percentage: 19.89
Size: 225	Mflop/s:   3515.2	Percentage: 18.31
Size: 255	Mflop/s:  3637.92	Percentage: 18.95
Size: 256	Mflop/s:  3536.87	Percentage: 18.42
Size: 257	Mflop/s:  3712.97	Percentage: 19.34
Size: 287	Mflop/s:  3549.89	Percentage: 18.49
Size: 288	Mflop/s:  3665.45	Percentage: 19.09
Size: 289	Mflop/s:  3558.04	Percentage: 18.53
Size: 319	Mflop/s:  3568.91	Percentage: 18.59
Size: 320	Mflop/s:   3668.6	Percentage: 19.11
Size: 321	Mflop/s:  3577.29	Percentage: 18.63
Size: 351	Mflop/s:  3590.04	Percentage: 18.70
Size: 352	Mflop/s:  3693.69	Percentage: 19.24
Size: 353	Mflop/s:  3598.75	Percentage: 18.74
Size: 383	Mflop/s:  3604.69	Percentage: 18.77
Size: 384	Mflop/s:   3650.6	Percentage: 19.01
Size: 385	Mflop/s:  3613.97	Percentage: 18.82
Size: 415	Mflop/s:  3621.97	Percentage: 18.86
Size: 416	Mflop/s:  3715.77	Percentage: 19.35
Size: 417	Mflop/s:  3627.46	Percentage: 18.89
Size: 447	Mflop/s:  3632.27	Percentage: 18.92
Size: 448	Mflop/s:  3723.69	Percentage: 19.39
Size: 449	Mflop/s:  3636.43	Percentage: 18.94
Size: 479	Mflop/s:  3642.15	Percentage: 18.97
Size: 480	Mflop/s:  3731.98	Percentage: 19.44
Size: 481	Mflop/s:  3648.09	Percentage: 19.00
Size: 511	Mflop/s:  3647.04	Percentage: 19.00
Size: 512	Mflop/s:  3592.39	Percentage: 18.71
Size: 513	Mflop/s:  3655.93	Percentage: 19.04
Size: 543	Mflop/s:  3649.37	Percentage: 19.01
Size: 544	Mflop/s:  3721.39	Percentage: 19.38
Size: 545	Mflop/s:  3652.72	Percentage: 19.02
Size: 575	Mflop/s:  3638.33	Percentage: 18.95
Size: 576	Mflop/s:  3703.58	Percentage: 19.29
Size: 577	Mflop/s:  3640.16	Percentage: 18.96
Size: 607	Mflop/s:  3639.75	Percentage: 18.96
Size: 608	Mflop/s:  3709.01	Percentage: 19.32
Size: 609	Mflop/s:  3643.57	Percentage: 18.98
Size: 639	Mflop/s:  3645.66	Percentage: 18.99
Size: 640	Mflop/s:  3678.35	Percentage: 19.16
Size: 641	Mflop/s:  3648.93	Percentage: 19.00
Size: 671	Mflop/s:  3647.78	Percentage: 19.00
Size: 672	Mflop/s:  3711.68	Percentage: 19.33
Size: 673	Mflop/s:  3654.15	Percentage: 19.03
Size: 703	Mflop/s:   3646.5	Percentage: 18.99
Size: 704	Mflop/s:  3721.08	Percentage: 19.38
Size: 705	Mflop/s:  3652.41	Percentage: 19.02
Size: 735	Mflop/s:  3654.69	Percentage: 19.03
Size: 736	Mflop/s:     3726	Percentage: 19.41
Size: 737	Mflop/s:  3660.83	Percentage: 19.07
Size: 767	Mflop/s:  3667.66	Percentage: 19.10
Size: 768	Mflop/s:   3676.3	Percentage: 19.15
Size: 769	Mflop/s:  3669.72	Percentage: 19.11
Size: 799	Mflop/s:  3669.25	Percentage: 19.11
Size: 800	Mflop/s:  3733.12	Percentage: 19.44
Size: 801	Mflop/s:  3672.03	Percentage: 19.13
Size: 831	Mflop/s:  3672.91	Percentage: 19.13
Size: 832	Mflop/s:  3728.98	Percentage: 19.42
Size: 833	Mflop/s:  3677.03	Percentage: 19.15
Size: 863	Mflop/s:  3674.98	Percentage: 19.14
Size: 864	Mflop/s:  3739.13	Percentage: 19.47
Size: 865	Mflop/s:  3678.39	Percentage: 19.16
